DATE,TIME,SPO2,PULSE
2015-01-01, 06:18:50, 97, 73
2015-01-01, 06:18:51, 97, 73
2015-01-01, 06:18:52, 97, 73
2015-01-01, 06:18:53, 98, 73
2015-01-01, 06:18:54, 98, 73
2015-01-01, 06:18:55, 98, 73
2015-01-01, 06:18:56, 99, 73
2015-01-01, 06:18:57, 99, 73
2015-01-01, 06:18:58, 99, 73
2015-01-01, 06:18:59, 99, 73
2015-01-01, 06:19:00, 99, 73
2015-01-01, 06:19:01, 99, 73
2015-01-01, 06:19:02, 99, 73
2015-01-01, 06:19:03, 99, 73
2015-01-01, 06:19:04, 99, 71
2015-01-01, 06:19:05, 99, 69
2015-01-01, 06:19:06, 99, 67
2015-01-01, 06:19:07, 99, 65
2015-01-01, 06:19:08, 99, 65
2015-01-01, 06:19:09, 99, 65
2015-01-01, 06:19:10, 99, 65
2015-01-01, 06:19:11, 99, 65
2015-01-01, 06:19:12, 99, 63
2015-01-01, 06:19:13, 99, 63
2015-01-01, 06:19:14, 99, 63
2015-01-01, 06:19:15, 99, 62
2015-01-01, 06:19:16, 99, 61
2015-01-01, 06:19:17, 99, 65
2015-01-01, 06:19:18, 99, 66
2015-01-01, 06:19:19, 99, 67
2015-01-01, 06:19:20, 99, 67
2015-01-01, 06:19:21, 99, 68
2015-01-01, 06:19:22, 99, 68
2015-01-01, 06:19:23, 99, 68
2015-01-01, 06:19:24, 99, 68
2015-01-01, 06:19:25, 99, 68
2015-01-01, 06:19:26, 99, 68
2015-01-01, 06:19:27, 99, 68
2015-01-01, 06:19:28, 99, 68
2015-01-01, 06:19:29, 98, 68
2015-01-01, 06:19:30, 98, 69
2015-01-01, 06:19:31, 98, 69
2015-01-01, 06:19:32, 98, 69
2015-01-01, 06:19:33, 98, 70
2015-01-01, 06:19:34, 98, 70
2015-01-01, 06:19:35, 98, 70
2015-01-01, 06:19:36, 98, 69
2015-01-01, 06:19:37, 98, 69
2015-01-01, 06:19:38, 98, 69
2015-01-01, 06:19:39, 98, 69
2015-01-01, 06:19:40, 98, 69
2015-01-01, 06:19:41, 98, 69
2015-01-01, 06:19:42, 98, 70
2015-01-01, 06:19:43, 98, 70
2015-01-01, 06:19:44, 98, 71
2015-01-01, 06:19:45, 98, 71
2015-01-01, 06:19:46, 98, 71
2015-01-01, 06:19:47, 98, 70
2015-01-01, 06:19:48, 98, 70
2015-01-01, 06:19:49, 98, 69
2015-01-01, 06:19:50, 98, 67
2015-01-01, 06:19:51, 98, 66
2015-01-01, 06:19:52, 98, 65
2015-01-01, 06:19:53, 98, 65
2015-01-01, 06:19:54, 98, 65
2015-01-01, 06:19:55, 98, 66
2015-01-01, 06:19:56, 98, 66
2015-01-01, 06:19:57, 98, 68
2015-01-01, 06:19:58, 98, 68
2015-01-01, 06:19:59, 98, 69
2015-01-01, 06:20:00, 98, 69
2015-01-01, 06:20:01, 98, 69
2015-01-01, 06:20:02, 98, 70
2015-01-01, 06:20:03, 98, 69
2015-01-01, 06:20:04, 98, 69
2015-01-01, 06:20:05, 98, 69
2015-01-01, 06:20:06, 98, 69
2015-01-01, 06:20:07, 98, 69
2015-01-01, 06:20:08, 98, 69
2015-01-01, 06:20:09, 98, 69
2015-01-01, 06:20:10, 98, 69
2015-01-01, 06:20:11, 98, 70
2015-01-01, 06:20:12, 98, 70
2015-01-01, 06:20:13, 98, 70
2015-01-01, 06:20:14, 98, 70
2015-01-01, 06:20:15, 98, 69
2015-01-01, 06:20:16, 98, 69
2015-01-01, 06:20:17, 98, 68
2015-01-01, 06:20:18, 98, 68
2015-01-01, 06:20:19, 98, 67
2015-01-01, 06:20:20, 98, 66
2015-01-01, 06:20:21, 98, 65
2015-01-01, 06:20:22, 98, 65
